Family	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N30	N31	W1	W2	W3	W4
Rhodothermaceae	0.079681275	0.08142691	0.116004474	0.034437238	0.069927014	0.044575695	0.032385517	0.223136808	0.044793502	0.044396524	0.006159153	0	0	0.00409249	0	0	0.027251669	0.006484874	0	0.005398985	0.033210945	0.021976814	0.044258469	0.04691689	0.006414917	0.020309871	0.491223866	0.498330834	0.161284273	1.085982983	0.136729994	0.013760205	0	0	0.005509338
Trueperaceae	0.003187251	0	0	0	0	0.005571962	0	0.004958596	0.0089587	0.00317118	0	0	0	0	0	0	0.037471045	0.048636555	0.019474197	0.03239391	0.001845052	0.001831401	0	0	0.002138306	0.00290141	0	0.01451449	0	0.022391402	0	0	0	0	0
Phaselicystidaceae	0	0	0.012429051	0	0.013111315	0.005571962	0	0.049585957	0.053752202	0.019027082	0.015397881	0.020376282	0.089861939	0.00409249	0.007778066	0.008131734	0.214606895	0.012969748	0.11684518	0.016196955	0.003690105	0.03113382	0.016093989	0	0	0.00870423	0	0.004838163	0	0	0	0.050454087	0.092397043	0.02032245	0.027546692
Terrimicrobiaceae	0.012749004	0.015509888	0.012429051	0	0	0.022287848	0.032385517	0.004958596	0.092573237	0.038054164	0.458856861	0.129049786	0.077608039	0.315121752	0.549649987	0.276478959	0.054503338	0	0.095423564	0.01079797	0.625472795	0.12087248	0.116681419	0.006702413	0.072702391	0.153774735	0.01198107	0	0	0.011195701	0.028785262	0.004586735	0	0.00677415	0.022037353
Paludibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005398985	0	0	0	0	0	0	0	0	0	0	0	0.013760205	0.013199578	0.02032245	0.005509338
Chthoniobacteraceae	0	0.023264831	0.062145254	0	0.013111315	0.011143924	0.012954207	0.064461744	0.08660077	0.085621868	0	0	0.008169267	0	0.007778066	0	0.047690421	0.009727311	0.00194742	0.080984775	0	0.003662802	0	0	0	0.020309871	0	0	0.007501594	0.014927601	0	0.00917347	0.013199578	0	0.011018677
PLTA13_fa	0	0	0	0	0	0	0	0	0.002986233	0.006342361	0.003079576	0	0.004084634	0	0	0	0.003406459	0.019454622	0	0.059388835	0	0.001831401	0	0	0	0	0	0	0	0	0	0.123841849	0.092397043	0.094838098	0.071621398
Bacteria_unclassified	0.089243028	0.089181853	0.037287153	0.022958159	0.02622263	0.055719619	0.051816828	0.024792979	0.074655837	0.050738885	0.206331609	0.230931196	0.138877543	0.376509106	0.383717915	0.235820289	0.054503338	0.197788658	0.021421616	0.18356549	0.260152401	0.067761845	0.048281967	0.147453083	0.134713253	0.461324204	0.245611933	0.454787363	0.232549417	0.205254516	0.158318941	0.738464361	1.517951426	0.799349682	0.49584045
Competibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteria_unclassified	1.198406375	0.538968592	0.045573186	0.063134937	0.152965342	0.367749485	0.187836	0.054544553	0	0	0	0	0	0	0	0	0	0	0	0	0.023985682	0.203285534	0.209221856	0.623324397	0.344267203	0.287239598	0.245611933	0.266098989	0.116274708	0.085833707	0.068364997	0.036693881	0.013199578	0.027096599	0.011018677
Thermoanaerobaculaceae	0	0	0	0	0	0	0	0.004958596	0.0089587	0	0.015397881	0	0.004084634	0	0.015556132	0	0	0.009727311	0	0.005398985	0	0	0	0	0	0	0	0	0	0	0	0.050454087	0.131995776	0.02032245	0.016528015
Spirochaetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135483	0.005509338
Amoebophilaceae	0	0	0	0	0.008740877	0	0.006477103	0	0.002986233	0.025369443	0.006159153	0	0.012253901	0	0	0	0.010219376	0	0	0	0.016605472	0.003662802	0.004023497	0.006702413	0	0.031915511	0.053914815	0.058057961	0.041258767	0.082101806	0.025187104	0.00917347	0	0.00677415	0
Micromonosporaceae	0	0	0	0	0	0	0	0	0	3.405847656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105494909	0.05279831	0.081289798	0.082640075
Caldilineaceae	0	0	0.004143017	0	0.02622263	0.016715886	0	0	0.002986233	0	0.003079576	0	0	0	0	0	0.010219376	0.006484874	0.126582278	0.059388835	0	0.027471018	0.024140983	0	0	0	0	0	0	0	0.003598158	0.068801027	0.079197466	0.033870749	0.03305603
Halieaceae	0	0.003877472	0	0	0	0	0	0	0	0	0.015397881	0	0	0	0	0	0.003406459	0	0	0.01079797	0	0	0	0	0	0	0	0	0	0	0	0.018346941	0.013199578	0.0135483	0.005509338
CCM19a_fa	0.006374502	0	0	0	0	0	0	0	0.002986233	0	0.178615423	0.03396047	0	0.012277471	0.005185377	0	0.027251669	0.025939496	0	0.113378685	0.001845052	0.005494204	0.004023497	0.006702413	0.002138306	0.00870423	0	0.009676327	0	0.018659501	0.003598158	0.036693881	0.092397043	0.060967349	0.049584045
Deinococcaceae	0	0.003877472	0.248581017	0.022958159	0.131113151	0.094723352	0.356240689	0.292557148	0.197091409	0.107820131	0.166297118	0.27168376	0.118454375	0.024554942	0.041483018	0.130107745	0.456465459	0.149152103	0.068159688	0.026994925	0.298898504	0.234419354	0.233362839	0.080428954	0.008553222	0.01160564	0.017971605	0.009676327	0.015003188	0.111957009	0.003598158	0	0.013199578	0	0.011018677
WPS-2_fa	0	0.003877472	0	0	0	0	0	0	0	0	0.006159153	0	0	0.00409249	0	0	0	0.006484874	0	0.016196955	0.001845052	0.003662802	0	0	0	0	0.005990535	0	0	0	0	0.027520411	0.026399155	0.0135483	0.011018677
UBA12409	0.006374502	0.011632416	0.008286034	0	0.004370438	0	0.01943131	0.054544553	0.005972467	0.022198262	0	0.06792094	0.028592435	0.012277471	0.002592689	0.004065867	0	0	0.015579357	0.102580715	0.319194081	0.071424647	0.567313109	0.134048257	0.002138306	0	0.01198107	0.009676327	0.003750797	0.041050903	0.007196315	0.14218879	0.184794087	0.121934697	0.154261473
Nitrosomonadaceae	0	0	0	0	0.008740877	0	0	0.004958596	0.014931167	0	0.203252033	0.353188888	0.339024589	0.102312257	0.070002593	0.374059768	0.057909797	0.038909244	0	0.06478782	0.00738021	0.032965222	0.036211475	0.006702413	0.008553222	0.01160564	0	0.01451449	0	0.044782803	0.007196315	0.114668379	0.224392819	0.108386398	0.369125668
Chitinibacteraceae	0	0	0.008286034	0.011479079	0	0.027859809	0	0.004958596	0.002986233	0	0	0	0	0	0	0	0	0	0.00194742	0	0	0	0	0	0	0	0	0	0	0	0	0.454086781	0.316789863	0.318385043	0.258938901
Gemmatimonadaceae	0	0.007754944	0.012429051	0	0.004370438	0.016715886	0.006477103	0.024792979	0.101531938	0.069765967	0.585119488	0.346396794	0.212400948	0.090034786	0.15037594	0.174832283	0.381523368	0.327486139	0.00194742	0.394125904	0.001845052	0.073256048	0.048281967	0.040214477	0.017106445	0.01450705	0.005990535	0.01451449	0	0.029855202	0.003598158	0.045867352	0.05279831	0.033870749	0.038565368
Verrucomicrobiaceae	0.009561753	0.054284606	0.190578779	0	0.109260959	0.039003733	0.045339724	0.059503149	0.06868337	0.038054164	0.064671101	0.020376282	0.049015603	0.012277471	0.020741509	0.004065867	0.057909797	0.019454622	0.05647517	0.03239391	0.070111995	0.056773437	0.032187978	0	0.008553222	0.150873324	0.029952675	0.038705307	0	0.018659501	0.003598158	0.073387763	0.382787751	0.033870749	0.044074707
uncultured	0.006374502	0.007754944	0.029001119	0.011479079	0.013111315	0.016715886	0.012954207	0.06942034	0.035834802	0.009513541	0.175535846	0.040752564	0.028592435	0.261919378	0.235934664	0.239886156	0.136258346	0.051878992	0.05842259	0.06478782	0.108858097	0.06043624	0.048281967	0.254691689	0.100500364	0.133464864	0.119810699	0.30964246	0.198792243	0.287356322	0.089953944	0.408219429	0.409186906	0.480964639	0.341578976
CCD24_fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00409249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114668379	0.118796199	0.108386398	0.121205443
Betaproteobacteriales_unclassified	0	0	0	0	0.004370438	0	0	0.039668766	0.020903634	0.012684721	0	0.03396047	0.126623642	0.024554942	0.025926886	0.032526936	0.020438752	0.025939496	0.00194742	0.01079797	0.068266942	0.084244455	0.100587431	0.040214477	0	0	0.01198107	0.067734288	0	0.164203612	0	0.160535731	0.158394931	0.189676196	0.126714782
Desulfobulbaceae	0	0.003877472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004586735	0	0.00677415	0.005509338
Desulfomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geminicoccaceae	0	0	0	0	0	0	0	0	0	0.00317118	0	0.013584188	0	0	0.002592689	0	0.003406459	0	0	0.005398985	0	0	0	0	0	0	0	0	0	0	0	0.00917347	0	0.00677415	0.005509338
Pla4_lineage_fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022933676	0.013199578	0.02032245	0.005509338
Obscuribacterales_fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005842259	0	0	0	0	0	0	0	0	0	0	0	0	0.004586735	0.039598733	0.00677415	0.005509338
Sneathiellaceae	0	0	0	0	0	0	0	0	0	0.009513541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hyphomonadaceae	0.003187251	0	0.004143017	0.00573954	0.004370438	0.033431771	0.025908414	0.019834383	0.035834802	0.00317118	0.086228135	0.020376282	0.012253901	0.020462451	0.020741509	0.012197601	0.047690421	0.03242437	0.085686465	0.102580715	0.027675787	0.089738659	0.036211475	0.033512064	0.040627807	0.029014101	0.01198107	0.01451449	0.015003188	0.048514704	0.025187104	0.238510228	0.382787751	0.237095245	0.19833618
Proteobacteria_unclassified	0	0	0.008286034	0	0.008740877	0.027859809	0	0	0.002986233	0.00317118	0.009238729	0	0.016338534	0.024554942	0	0.012197601	0.027251669	0.006484874	0.003894839	0.04319188	0.099632835	0.157500504	0.21726885	0.113941019	0.036351195	0.00870423	0.119810699	0.048381634	0.003750797	0.119420809	0.043177893	0.288964315	0.184794087	0.338707492	0.275466916
SM2D12	0.003187251	0.003877472	0.033144136	0	0.017481753	0.011143924	0.045339724	0.019834383	0.011944934	0	0.061591525	0.03396047	0.053100237	0.057294864	0.064817215	0.065053873	0.027251669	0.029181933	0.011684518	0.026994925	0.280447979	0.219768145	0.116681419	0.207774799	0.239490228	0.638310219	0.107829629	0.208041028	0.142530288	0.220182117	0.147524467	0.385285754	0.290390707	0.392900691	0.303013608
Puniceicoccaceae	0.009561753	0.015509888	0	0	0	0	0	0.004958596	0	0	0	0	0	0	0	0	0	0	0	0	0.020295577	0.005494204	0.004023497	0.026809651	0.081255613	0.043521151	0	0.01451449	0.018753985	0.029855202	0.035981577	0.096321438	0.158394931	0.074515648	0.082640075
Leptotrichiaceae	0	0	0.004143017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005398985	0.042436207	0	0.004023497	0	0.002138306	0.00290141	0	0.009676327	0	0.0037319	0.003598158	0.050454087	0.065997888	0.088063948	0.049584045
Acetobacteraceae	0.108366534	0.031019775	0.008286034	0.017218619	0	0	0.012954207	0	0.005972467	0.025369443	0.129342203	0.027168376	0.004084634	0.024554942	0.033704952	0.004065867	0.034064586	0.006484874	0.007789679	0.03239391	0.031365892	0.016482611	0.040234972	0.006702413	0.029936278	0.116056403	0.041933745	0.053219798	0.075015941	0.055978504	0.061168682	0	0	0.00677415	0
Acaryochloridaceae	0	0	0	0	0	0	0	0	0.014931167	0	0	0.013584188	0	0	0	0	0.030658128	0.016212185	0	0.070186805	0.001845052	0	0	0	0	0	0	0	0	0	0	0.004586735	0.039598733	0.0135483	0.03305603
NS9_marine_group	0	0	0.020715085	0	0.004370438	0	0.012954207	0.094213319	0.023889868	0.00317118	0.030795763	0.027168376	0	0	0	0	0.197574601	0.003242437	0	0.05398985	0.132843779	0.042122228	0.088516939	0	0.006414917	0.00290141	0	0.01451449	0.007501594	0.037319003	0.021588946	0.032107146	0.05279831	0.00677415	0.03305603
Rhizobiaceae	0.015936255	0.015509888	0.029001119	0.00573954	0.034963507	0.022287848	0.045339724	0.044627362	0.062710903	0.047567705	0.02463661	0.013584188	0	0.081849806	0.015556132	0.008131734	0.010219376	0.022697059	0.148003895	0.02159594	0.00738021	0	0	0	0	0	0	0.009676327	0.003750797	0.0037319	0.017990789	0.045867352	0.05279831	0.033870749	0.011018677
01D2Z36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microtrichaceae	0.015936255	0.011632416	0.070431288	0	0.061186137	0.044575695	0.038862621	0.03471017	0.011944934	0.057081246	0.160137965	0.027168376	0.008169267	0.040924903	0.09333679	0.020329335	0.102193759	0.019454622	0.025316456	0.08638376	0.003690105	0.038459425	0.016093989	0	0.004276611	0.026112691	0.005990535	0.053219798	0.011252391	0.205254516	0.017990789	0.055040822	0.05279831	0.040644899	0.044074707
Fimbriimonadaceae	0.009561753	0.007754944	0.033144136	0	0.048074822	0.044575695	0.01943131	0.019834383	0.032848568	0.031711803	0.080068983	0.061128846	0.04493097	0.073664825	0.178895515	0.097580809	0.010219376	0.022697059	0.009737098	0.005398985	0.03690105	0.051279234	0.032187978	0.013404826	0.006414917	0.01160564	0.017971605	0.043543471	0.015003188	0.104493208	0.007196315	0.041280616	0.039598733	0.02032245	0.038565368
Solimonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002592689	0	0	0.003242437	0	0.005398985	0	0.001831401	0	0	0	0	0	0	0	0	0	0.27520411	0.250791975	0.298062593	0.110186767
Saccharimonadales_fa	0	0.007754944	0	0	0.017481753	0	0	0.004958596	0	0.00317118	0.018477458	0	0.012253901	0.032739922	0.012963443	0	0.044283962	0	0	0.02159594	0	0	0	0	0	0	0	0	0	0	0	1.408127695	1.676346357	1.605473513	1.586689439
Calditrichaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013760205	0	0.00677415	0.005509338
Steroidobacteraceae	0	0.003877472	0	0	0	0	0	0	0.005972467	0	0.003079576	0	0	0	0	0	0	0	0	0.005398985	0	0	0	0	0	0	0	0	0	0	0	0.045867352	0.039598733	0.027096599	0.071621398
Anaerolineaceae	0	0	0	0	0	0	0	0	0	0.00317118	0.006159153	0	0	0	0	0	0.003406459	0.006484874	0.00194742	0.005398985	0	0	0	0	0	0	0	0	0	0	0	0.059627557	0.131995776	0.00677415	0.011018677
Devosiaceae	0.006374502	0.019387359	0.012429051	0	0.008740877	0.016715886	0.045339724	0.059503149	0.083614537	0.076108328	0.206331609	0.054336752	0.073523405	0.094127276	0.077780659	0.077251474	0.156697098	0.009727311	0.186952288	0.070186805	0.038746102	0.012819808	0	0	0.002138306	0.00870423	0	0.01451449	0	0.029855202	0.010794473	0.100908174	0.197993664	0.081289798	0.09916809
TRA3-20	0	0	0	0	0	0	0	0	0	0	0.006159153	0	0	0	0	0	0.003406459	0.006484874	0.003894839	0.005398985	0	0	0	0	0	0	0.005990535	0.004838163	0	0	0.003598158	0.055040822	0.118796199	0.115160547	0.082640075
BRC1_fa	0	0.003877472	0.004143017	0	0	0.016715886	0	0.004958596	0.017917401	0.015855902	0.09854644	0.027168376	0.057184871	0.159607121	0.370754472	0.154502948	0	0	0.003894839	0.04319188	0.064576837	0.010988407	0.016093989	0.067024129	0.134713253	0.197295886	0.04792428	0.029028981	0.041258767	0.011195701	0.053972366	0.004586735	0.013199578	0.0135483	0.022037353
Gammaproteobacteria_unclassified	0	0	0	0.017218619	0.013111315	0.005571962	0	0.019834383	0.026876101	0	0.141660508	0.054336752	0.036761702	0.036832413	0.033704952	0.020329335	0.017032293	0.016212185	0	0.059388835	0.070111995	0.073256048	0.020117486	0.073726542	0.004276611	0.01160564	0.005990535	0	0.003750797	0.022391402	0.104346575	0.288964315	0.409186906	0.406448991	0.26444824
Parvularculaceae	0	0	0	0	0	0	0	0	0	0	0	0.006792094	0	0	0	0	0	0.003242437	0	0.005398985	0	0	0	0	0	0	0	0	0	0	0	0.059627557	0.092397043	0.054193199	0.03305603
env.OPS_17	0.003187251	0	0.004143017	0	0.008740877	0.005571962	0	0.03471017	0.134380506	0.072937147	0.006159153	0	0.008169267	0.008184981	0.002592689	0.004065867	0.194168143	0.045394118	0.00194742	0.02159594	0	0	0	0	0	0	0	0	0	0.011195701	0	0.146775525	0.250791975	0.216772795	0.126714782
Sphingobacteriales_unclassified	0	0	0.008286034	0	0.034963507	0.016715886	0.01943131	0.044627362	0.065697136	0.025369443	0.015397881	0.020376282	0.383955559	0.094127276	0.13222712	0.085383208	0.078348549	0.019454622	0.009737098	0.02159594	0	0.032965222	0.028164481	0	0.002138306	0	0	0	0	0	0	0.665076598	0.699577614	0.758704783	0.517877803
Ardenticatenaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047690421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reyranellaceae	0	0	0	0	0	0	0	0	0.005972467	0.00317118	0.015397881	0	0.008169267	0.008184981	0.012963443	0.008131734	0.010219376	0.006484874	0.019474197	0.01079797	0	0	0	0	0	0	0	0	0	0	0	0.169709201	0.211193242	0.243869394	0.170789488
RCP2-54_fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002138306	0	0	0	0	0	0	0.064214292	0.039598733	0.094838098	0.022037353
Rickettsiaceae	0	0.003877472	0	0	0	0.005571962	0	0	0	0	0.003079576	0.006792094	0	0.045017393	0.015556132	0.008131734	0	0.003242437	0	0	0.005535157	0.003662802	0	0	0	0.00580282	0	0	0	0	0.007196315	0.252270434	0.27719113	0.135482997	0.148752135
Bdellovibrionaceae	0	0	0	0	0	0	0	0	0	0.00317118	0.033875339	0.047544658	0.024507802	0.016369961	0.028519575	0	0.034064586	0.019454622	0.007789679	0.026994925	0.027675787	0.020145413	0.004023497	0.006702413	0.006414917	0.00290141	0	0.004838163	0	0.0037319	0.003598158	1.114576644	0.976768743	1.104186425	0.986171561
Ignavibacteria_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004586735	0	0	0
Cyclobacteriaceae	0.458964143	0.399379604	0.070431288	0	0	0.005571962	0.012954207	0.019834383	0.065697136	0.20612672	0.058511949	0.129049786	0.008169267	0.016369961	0.020741509	0.020329335	0.006812917	0	0.005842259	0.005398985	0	0	0.004023497	0	0	0.00580282	0.041933745	0.004838163	0	0.029855202	0.021588946	0.091734703	0.105596621	0.088063948	0.071621398
Rhodospirillaceae	0	0	0	0	0	0	0	0.004958596	0.011944934	0.00317118	0.046193644	0.040752564	0.036761702	0	0.046668395	0.004065867	0.030658128	0.055121429	0	0.02159594	0.011070315	0.027471018	0.028164481	0.020107239	0	0.00580282	0	0.009676327	0	0.011195701	0	0.036693881	0.026399155	0.0135483	0.027546692
Arcobacteraceae	0.019123506	0.011632416	0.004143017	0	0	0	0	0.019834383	0	0.00317118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321071461	0.422386484	0.250643544	0.203845518
Microbacteriaceae	0	0.038774719	0	0	0.004370438	0	0.006477103	0	0.002986233	0	0	0	0	0	0.002592689	0	0	0.003242437	0.148003895	0.016196955	0.001845052	0	0	0	0	0	0	0	0	0.007463801	0.003598158	0.146775525	0.211193242	0.135482997	0.093658752
Rhizobiales_unclassified	0.140239044	0.221015898	0.099432407	0.00573954	0.017481753	0.055719619	0.071248138	0.014875787	0.020903634	0.015855902	0.015397881	0	0.032677069	0.028647432	0.033704952	0.028461069	0.006812917	0.016212185	0.013631938	0.005398985	0.123618517	0.089738659	0.07242295	0.120643432	0.124021725	0.133464864	0.119810699	0.203202864	0.251303402	0.141812211	0.086355786	0.027520411	0.026399155	0.033870749	0.011018677
KI89A_clade_fa	0	0	0	0	0.004370438	0.016715886	0	0	0.005972467	0	0.030795763	0.013584188	0	0	0	0	0.044283962	0.003242437	0	0.04319188	0.001845052	0.020145413	0.012070492	0	0	0	0	0	0	0	0	0.027520411	0.013199578	0.0135483	0.005509338
DEV007	0.003187251	0.007754944	0.033144136	0	0.008740877	0	0.006477103	0	0	0.00317118	0.003079576	0.006792094	0.004084634	0	0.002592689	0.008131734	0	0	0.005842259	0.016196955	0.053506522	0.010988407	0.016093989	0.006702413	0.004276611	0.029014101	0.01198107	0.009676327	0	0.033587103	0	0.041280616	0.05279831	0.00677415	0.038565368
Subgroup_6_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003242437	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027520411	0.05279831	0.027096599	0.022037353
BIrii41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210989817	0.263991552	0.243869394	0.209354856
Polyangiaceae	0	0	0.004143017	0	0	0.005571962	0	0	0.011944934	0.006342361	0	0	0.061269504	0	0	0	0.037471045	0	0	0.005398985	0	0.001831401	0	0	0	0	0	0	0	0	0	0.022933676	0.039598733	0.027096599	0.011018677
Verrucomicrobiae_unclassified	0	0	0	0	0	0	0	0	0	0.00317118	0.015397881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00917347	0.039598733	0.02032245	0.011018677
Cryptosporangiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013760205	0.013199578	0.033870749	0.016528015
Bacteroidaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.399045959	0.541182682	0.365804092	0.236901548
Caedibacteraceae	0.009561753	0	0.016572068	0.00573954	0.030593068	0	0	0	0	0.015855902	0.006159153	0	0	0	0	0	0	0	0	0	0.001845052	0.001831401	0.008046994	0	0	0	0.005990535	0	0.003750797	0.022391402	0.068364997	0	0	0	0
Synechococcales_Incertae_Sedis	0.003187251	0.003877472	0.008286034	0.00573954	0.034963507	0.011143924	0.168404689	0.054544553	0.050765969	0.041225344	0.015397881	0.061128846	0.24916265	0.081849806	0.095929479	0.032526936	0.119226053	0.077818488	0.037000974	0.016196955	0.08856252	0.071424647	0.016093989	0	0.010691528	0.00290141	0	0.004838163	0.007501594	0	0.003598158	0	0	0.00677415	0
uncultured_fa	0	0	0.012429051	0.00573954	0	0.005571962	0.032385517	0	0.020903634	0	0.012318305	0.013584188	0	0.00409249	0.015556132	0.008131734	0.040877504	0.03242437	0.025316456	0.04319188	0.04428126	0.047616431	0.080469944	0.006702413	0.002138306	0.01160564	0.017971605	0	0	0.0037319	0.035981577	0.270617375	0.316789863	0.291288443	0.280976255
Solirubrobacterales_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003406459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28437758	0.290390707	0.318385043	0.380144345
Prolixibacteraceae	0.006374502	0.003877472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036693881	0	0.02032245	0.016528015
KD3-93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010219376	0	0	0.005398985	0	0	0	0	0	0	0	0	0	0	0	0.119255114	0.184794087	0.237095245	0.203845518
Shewanellaceae	0	0.007754944	0.004143017	0	0	0	0	0.163633659	0.0089587	0.085621868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055040822	0.013199578	0.00677415	0.011018677
Nannocystaceae	0	0	0.004143017	0	0.004370438	0	0	0	0	0	0.006159153	0.013584188	0.008169267	0	0.005185377	0	0.006812917	0.003242437	0.050632911	0.02159594	0	0.071424647	0.012070492	0	0.002138306	0	0.041933745	0.048381634	0.052511159	0.007463801	0	0.018346941	0.039598733	0.027096599	0.022037353
Moraxellaceae	0.274103586	0.763861962	0.20300783	0.00573954	0.02622263	0.044575695	0	0.009917191	0.014931167	0.063423606	0	0.006792094	0.016338534	0.00409249	0	0	0	0.003242437	0.00194742	0	0	0	0	0	0	0	0	0	0	0	0	0.119255114	0.118796199	0.108386398	0.154261473
Pseudohongiellaceae	0	0	0	0	0	0	0	0	0	0	0.009238729	0	0	0	0	0	0	0.003242437	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018346941	0.039598733	0.033870749	0.005509338
PeM15_fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00917347	0	0.00677415	0.005509338
B1-7BS	0	0.007754944	0	0	0	0	0.006477103	0	0	0	0	0	0	0	0	0	0	0.003242437	0	0	0	0	0	0	0	0	0.005990535	0	0	0	0	0.013760205	0	0.02032245	0.011018677
Bacteroidetes_vadinHA17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasmataceae	0	0	0	0	0	0	0	0	0	0.00317118	0	0.013584188	0.028592435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421979635	0.488384372	0.345481642	0.336069638
Herpetosiphonaceae	0	0	0	0	0	0	0	0	0	0	0	0.006792094	0.004084634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022933676	0.039598733	0.0135483	0.03305603
Bradymonadales_fa	0	0	0.004143017	0	0	0	0	0.004958596	0	0.006342361	0.003079576	0	0	0	0.002592689	0	0	0	0.00194742	0	0.005535157	0.010988407	0.012070492	0.020107239	0.014968139	0.017408461	0	0.004838163	0	0.011195701	0.010794473	0.004586735	0	0.00677415	0
vadinHA49_fa	0	0	0	0	0	0	0	0	0	0.00317118	0	0	0	0	0.005185377	0	0.030658128	0.03242437	0.00194742	0	0.001845052	0.003662802	0	0	0	0	0	0.004838163	0	0	0	0.298137786	0.118796199	0.291288443	0.253429563
Hydrogenedensaceae	0	0	0	0	0	0	0	0	0	0	0.015397881	0.020376282	0	0	0	0	0.006812917	0.006484874	0	0.03239391	0	0.001831401	0	0	0	0	0	0	0	0	0	0.064214292	0.039598733	0.040644899	0.055093383
Cyanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025659667	0	0	0	0.007501594	0	0.003598158	0.00917347	0	0	0.022037353
Micavibrionaceae	0	0	0	0	0.004370438	0.005571962	0	0	0.005972467	0	0	0	0	0.00409249	0.002592689	0.004065867	0	0.006484874	0.003894839	0	0.071957047	0.025639617	0.024140983	0.033512064	0.036351195	0.116056403	0.005990535	0.024190817	0.011252391	0.014927601	0.021588946	0.073387763	0.092397043	0.121934697	0.055093383
Babeliales_fa	0	0	0	0	0	0	0	0	0	0	0.009238729	0	0	0	0	0	0	0	0	0	0	0.009157006	0	0	0	0	0	0	0	0	0	0.160535731	0.118796199	0.196450345	0.104677428
