Family	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N30	N31	W1	W2	W3	W4
SM1A07_fa	0.076494024	0.073671966	0.066288271	0	0.004370438	0.005571962	0.058293931	0.03471017	0.011944934	0.009513541	0.003079576	0.013584188	0.004084634	0.012277471	0.010370754	0	0	0.006484874	0.005842259	0	0.826583516	0.598868194	2.482497787	1.481233244	6.089894368	7.624905704	1.228059666	0.643475737	3.735793856	0.675473951	6.861686816	0	0.013199578	0.00677415	0
Family_XII	0.433466135	2.256688639	0.923892779	0.063134937	0.004370438	0.284170056	0.01943131	0.014875787	0.020903634	0.012684721	0	0.006792094	0	0	0	0	0	0	0.015579357	0	0.001845052	0	0	0	0	0	0	0.009676327	0.007501594	0.007463801	0.003598158	0.018346941	0.013199578	0.00677415	0.011018677
Alteromonadaceae	0.006374502	0.131834044	9.238927787	1.228261493	6.520694026	11.37794617	3.925124684	1.512371696	1.794726312	2.809665758	0.003079576	0.006792094	0	0	0	0.004065867	0	0	0.021421616	0	0	0	0	0	0.006414917	0	0	0	0.007501594	0.0037319	0.014392631	0.931107238	0.950369588	0.697737434	0.479312435
Saprospiraceae	0.468525896	0.151221404	0.049716203	0	0.030593068	0.061291581	0.045339724	0.03471017	0.041807268	0.022198262	0.209411185	0.278475854	0.731149416	0.180069572	0.171117449	0.199227485	0.480310669	0.256152524	0.007789679	0.232156355	0.191885459	0.173983114	0.40637322	0.221179625	0.049181029	0.095746533	0.095848559	2.027190478	0.39383369	0.52619794	0.057570524	0.357765343	0.501583949	0.189676196	0.269957578
Microscillaceae	1.172908367	0.783249321	0.132576542	0.086093095	0.157335781	0.100295314	0.194313103	0.252888382	0.486756055	0.856218685	1.194875585	2.750798071	5.09353811	0.822590546	1.51931553	0.622077658	2.588908571	1.050549593	3.073028238	1.495518842	2.538792229	4.089518891	3.065904885	2.942359249	1.300089809	1.775662972	0.910561313	0.483816343	0.232549417	1.336020302	0.852763385	0.110081644	0.27719113	0.067741498	0.137733458
Subgroup_6_fa	0	0	0	0	0.004370438	0	0.006477103	0.03471017	0.065697136	0.012684721	0.058511949	0.020376282	0.004084634	0	0	0	0.245265022	0.045394118	0.015579357	0.048590865	0	0.029302419	0.004023497	0	0	0	0	0	0	0	0	0.357765343	0.32998944	0.304836743	0.286485593
Microcystaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003662802	0	0	0	0.01160564	0.053914815	0.038705307	0.022504782	0.104493208	0.007196315	0.004586735	0	0	0
A4b	2.023904382	2.345870492	1.462484982	0.281237445	1.258686246	1.732880147	3.186734892	3.059453563	1.967927853	0.830849242	5.219881744	1.113903416	1.809492689	2.144464907	2.582317864	1.593819882	0.824362992	0.541486982	5.59104187	1.700680272	3.719625823	5.574785268	7.636597731	5.107238606	9.325150751	4.532002553	3.33672797	4.189849533	3.608266757	6.907747425	7.602907311	0.110081644	0.184794087	0.060967349	0.071621398
Chitinophagaceae	0.015936255	0.252035673	0.087003356	0.00573954	0.02622263	0.022287848	0.051816828	0.17355085	0.170215307	0.091964229	0.234047795	0.183386538	0.310432154	0.090034786	0.114078299	0.113844277	0.524594631	0.06484874	0.038948393	0.06478782	0.256462296	0.366280241	0.2896918	0.207774799	0.094085447	0.095746533	0.185706584	0.120954086	0.071265144	0.167935513	0.050374208	0.307311256	0.409186906	0.291288443	0.303013608
MWH-CFBk5	0	0	0.004143017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004586735	0	0	0
Clostridiaceae_1	0.012749004	0.015509888	0	0	0	0	0.006477103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027520411	0	0.0135483	0.005509338
Xiphinematobacteraceae	0.497211155	0.484683986	0.09528939	0.011479079	0.008740877	0.072435505	0.375671999	0.004958596	0.005972467	0.025369443	0	0	0	0	0	0	0	0	0	0	0.001845052	0.016482611	0.008046994	0.04691689	0.010691528	0.142169094	0.03594321	0.082248778	0.026255579	0.13434841	0.050374208	0.004586735	0	0	0
Ilumatobacteraceae	0.03187251	0.077549438	0.074574305	0.011479079	0.179187973	0.167158857	0.142496276	0.203302425	0.203063876	0.057081246	0.104705593	0.061128846	0.130708275	0.057294864	0.134819808	0.056922139	0.204387519	0.15239454	0.087633885	0.102580715	0.035055997	0.115378276	0.136798906	0.026809651	0.017106445	0.00870423	0.029952675	0.125792249	0.011252391	0.242573518	0.017990789	0.522887808	0.712777191	0.372578241	0.600517878
Nodosilineaceae	0.006374502	0.027142303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013404826	0.002138306	0	0.005990535	0.01451449	0	0.011195701	0	0.004586735	0.013199578	0	0
Gemmataceae	0.006374502	0	0.004143017	0	0.013111315	0.022287848	0.006477103	0.03471017	0.050765969	0.031711803	0.067750678	0.020376282	0.028592435	0.094127276	0.129634431	0.060988006	0.238452105	0.016212185	0.005842259	0.19436346	1.040609605	0.384594253	0.197151364	0.563002681	0.77406663	1.294028898	0.527167076	0.062896125	0.195041446	0.082101806	1.155008636	0.013760205	0.013199578	0.00677415	0.016528015
