Sample	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00007	Otu00021
N_26	0.098340504	0.374923171	13.81684081	5.550092194	2.427781192	0.141364474	1.278426552
21W1	0.339067152	0	0	0.004134965	0	0	0
21W2	0.267798494	0.005052802	0.005052802	0.005052802	0	0	0
21W3	0.287150036	0	0	0	0	0	0
SACa_21_1	1.392660068	3.608653762	7.593938863	1.3839012	0.122624157	0.709468337	0.210212841
SACa_21_2	0.112501758	2.981296583	8.226691042	1.082829419	0.112501758	0.365630713	0.196878076
SACa_21_3	0.296790948	2.615470228	4.099424968	0.352439251	0.037098868	0.222593211	0.092747171
SACa_21_4	4.503716659	3.170091823	4.875382597	0.371665938	0.306077831	1.246174027	0.218627022
SACa_21_5	2.129221733	4.587091812	5.632473254	0.688763024	0.653800434	0.884553528	0.566393958
SACa_21_6	1.001025146	4.154857384	4.1729482	0.488452029	0.259301695	0.928661883	0.241210879
SACa_21_11	6.650147335	0.040182159	0.401821591	18.52397535	8.753013662	2.042593089	0.060273239
SACa_21_12	0.318159569	3.713901126	5.310817425	0.354870289	0.122369065	0.195790504	0.048947626
SACa_21_13	0.556490834	4.012345679	7.154882155	1.669472503	1.033482978	0.687429854	0.201084923
SACa_21_14	0.440018527	5.685502547	7.399258916	1.875868458	0.382121352	0.648448356	0.138953219
SACa_21_15	0.607954545	2.482954545	3.9375	0.517045455	0.079545455	0.164772727	0.125
SACa_21_16	5.9159315	2.750389206	7.239231967	3.632589517	3.606642449	4.566683965	0.311364816
SACa_21_W1	0	0	0	0.016041065	0	0	0
SACa_21_W2	0	0	0	0	0	0	0
SACa_21_W3	0	0	0	0	0	0	0
SACa_21_W4	0	0	0	0	0	0.014042971	0
